2016-10-17_10:39:45.548  [软件] 自动校时失败，请使用管理员权限运行本程序，谢谢！。
2016-10-17_10:39:52.154  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:52.256  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:52.256  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:52.256  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:52.348  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:52.348  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:52.348  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:52.456  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:52.457  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:52.457  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:52.551  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:52.552  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:52.552  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:52.649  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:52.649  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:52.649  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:52.853  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:52.853  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:52.853  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:52.948  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:52.948  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:52.948  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:53.053  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:53.053  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:53.053  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:53.248  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:53.248  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:53.248  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:53.348  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:53.348  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:53.348  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:53.448  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:53.448  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:53.448  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:53.558  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:53.559  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:53.559  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:53.648  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:53.648  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:53.648  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:53.752  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:53.752  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:53.752  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:53.854  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:53.854  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:53.854  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:53.948  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:53.948  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:53.948  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:54.054  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:54.054  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:54.054  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:54.147  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:54.147  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:54.147  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:54.257  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:54.258  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:54.258  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:54.353  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:54.353  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:54.354  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:54.453  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:54.453  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:54.453  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:54.669  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:54.681  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:54.681  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:54.767  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:54.767  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:54.767  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:54.863  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:54.863  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:54.863  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:54.959  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:54.959  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:54.959  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:55.154  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:55.154  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:55.154  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:55.249  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:55.249  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:55.249  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:55.348  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:55.348  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:55.349  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:55.450  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:55.450  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:55.450  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:55.549  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:55.549  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:55.549  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:55.653  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:55.653  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:55.654  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:55.748  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:55.748  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:55.748  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:55.850  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:55.850  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:55.850  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:55.955  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:55.955  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:55.955  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:56.154  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:56.154  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:56.154  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:56.249  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:56.250  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:56.250  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:56.353  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:56.353  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:56.354  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:56.457  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:56.457  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:56.457  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:56.561  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:56.561  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:56.561  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:56.649  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:56.649  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:56.649  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:56.753  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:56.753  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:56.753  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:56.849  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:56.849  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:56.849  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:56.954  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:56.955  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:56.955  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:57.048  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:57.048  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:57.048  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:57.151  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:57.151  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:57.151  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:57.253  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:57.253  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:57.253  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:57.368  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:57.368  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:57.368  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:57.549  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:57.549  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:57.549  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:57.654  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:57.654  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:57.654  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:57.755  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:57.755  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:57.755  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:57.854  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:57.854  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:57.854  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:57.955  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:57.956  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:57.956  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:58.049  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:58.049  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:58.049  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:58.148  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:58.148  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:58.148  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:58.250  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:58.250  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:58.250  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:58.351  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:58.352  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:58.352  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:58.453  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:58.453  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:58.453  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:58.550  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:58.551  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:58.551  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:58.655  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:58.655  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:58.655  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:58.751  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:58.751  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:58.752  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:58.850  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:58.850  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:58.850  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:58.949  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:58.949  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:58.949  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:59.047  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:59.047  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:59.047  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:59.153  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:59.153  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:59.153  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:59.252  [维护] 10:33:36车载"接收器2故障"
